authority_code,authority,period,housing_affordability_ratio
E06000002,Middlesbrough,2024-04-01,4.73
E06000003,Redcar and Cleveland,2024-04-01,5.39
E06000004,Stockton-on-Tees,2024-04-01,5.10
E06000006,Halton,2024-04-01,5.06
E06000023,"Bristol, City of",2024-04-01,8.60
E07000008,Cambridge,2024-04-01,10.98
E07000178,Oxford,2024-04-01,11.39
E08000003,Manchester,2024-04-01,7.88
E08000025,Birmingham,2024-04-01,6.77
E08000035,Leeds,2024-04-01,6.58
E09000007,Camden,2024-04-01,17.60
E09000020,Kensington and Chelsea,2024-04-01,23.82
